Index,REF,"Preço V
€ Unit","Vendas
Unit","Vendas
€","Valor C
€ Unit",gr,"Compra
STK",Compras €,gr,cm,"STK
Atual Unit","STK
Atual  €","STK
Vendas €",FAM,image,Foto,Etiq.
1,PAN0001,€ 10.00,,€ 0.00,€ 5.18,,1,€ 5.18,,,1,€ 5.18,€ 10.00,PAN,IMG_7797.jpg,,ok
2,PAN0002,€ 10.00,1,€ 10.00,€ 5.18,,1,€ 5.18,,,0,€ 0.00,€ 0.00,PAN,IMG_7799.jpg,,ok
3,PAN0003,€ 10.00,1,€ 10.00,€ 5.18,,1,€ 5.18,,,0,€ 0.00,€ 0.00,PAN,IMG_7802.jpg,,ok
4,PAN0004,€ 10.00,,€ 0.00,€ 5.18,,1,€ 5.18,,,1,€ 5.18,€ 10.00,PAN,IMG_7803.jpg,,ok
5,PAN0005,€ 15.00,,€ 0.00,€ 7.77,,1,€ 7.77,,,1,€ 7.77,€ 15.00,PAN,IMG_7771.jpg,,ok
6,PAN0006,€ 15.00,,€ 0.00,€ 7.77,,1,€ 7.77,,,1,€ 7.77,€ 15.00,PAN,IMG_7772.jpg,,ok
7,PAN0007,€ 15.00,,€ 0.00,€ 7.77,,1,€ 7.77,,,1,€ 7.77,€ 15.00,PAN,IMG_7773.jpg,,ok
8,PAN0008,€ 15.00,,€ 0.00,€ 7.77,,1,€ 7.77,,,1,€ 7.77,€ 15.00,PAN,IMG_7774.jpg,,ok
9,PAN0009,€ 15.00,,€ 0.00,€ 7.77,,1,€ 7.77,,,1,€ 7.77,€ 15.00,PAN,IMG_7775.jpg,,ok
10,PAN0010,€ 15.00,,€ 0.00,€ 7.77,,1,€ 7.77,,,1,€ 7.77,€ 15.00,PAN,IMG_7778.jpg,,ok
11,PAN0011,€ 15.00,,€ 0.00,€ 7.77,,1,€ 7.77,,,1,€ 7.77,€ 15.00,PAN,IMG_7779.jpg,,ok
12,PAN0012,€ 15.00,,€ 0.00,€ 7.77,,1,€ 7.77,,,1,€ 7.77,€ 15.00,PAN,IMG_7780.jpg,,ok
13,PAN0013,€ 15.00,,€ 0.00,€ 7.77,,1,€ 7.77,,,1,€ 7.77,€ 15.00,PAN,IMG_7781.jpg,,ok
14,PAN0014,€ 15.00,,€ 0.00,€ 7.77,,1,€ 7.77,,,1,€ 7.77,€ 15.00,PAN,IMG_7782.jpg,,ok
15,PAN0015,€ 15.00,,€ 0.00,€ 7.77,,1,€ 7.77,,,1,€ 7.77,€ 15.00,PAN,IMG_7783.jpg,,ok
16,PAN0016,€ 15.00,1,€ 15.00,€ 7.77,,1,€ 7.77,,,0,€ 0.00,€ 0.00,PAN,IMG_7784.jpg,,ok
17,PAN0017,€ 15.00,,€ 0.00,€ 7.77,,1,€ 7.77,,,1,€ 7.77,€ 15.00,PAN,IMG_7786.jpg,,ok
18,PAN0018,€ 15.00,,€ 0.00,€ 7.77,,1,€ 7.77,,,1,€ 7.77,€ 15.00,PAN,IMG_7787.jpg,,ok
19,PAN0019,€ 30.00,,€ 0.00,€ 15.53,,1,€ 15.53,,,1,€ 15.53,€ 30.00,PAN,IMG_7789.jpg,,ok
20,PAN0020,€ 30.00,1,€ 30.00,€ 15.53,,1,€ 15.53,,,0,€ 0.00,€ 0.00,PAN,IMG_7791.jpg,,Tixa
21,PAN0021,€ 30.00,1,€ 30.00,€ 15.53,,1,€ 15.53,,,0,€ 0.00,€ 0.00,PAN,IMG_7792.jpg,,Joana
22,PAN0022,€ 30.00,,€ 0.00,€ 15.53,,1,€ 15.53,,,1,€ 15.53,€ 30.00,PAN,IMG_7793.jpg,,Dany
23,PAN0023,€ 30.00,1,€ 30.00,€ 15.53,,1,€ 15.53,,,0,€ 0.00,€ 0.00,PAN,IMG_7794.jpg,,Cady
24,PAN0024,€ 30.00,,€ 0.00,€ 15.53,,1,€ 15.53,,,1,€ 15.53,€ 30.00,PAN,IMG_7796.jpg,,ok
25,PAN0025,€ 30.00,,€ 0.00,€ 15.53,,1,€ 15.53,,,1,€ 15.53,€ 30.00,PAN,IMG_7804.jpg,,ok
26,PAN0026,€ 15.00,1,€ 15.00,€ 7.77,,1,€ 7.77,,,0,€ 0.00,€ 0.00,PAN,IMG_7805.jpg,,ok
27,PAN0027,€ 30.00,,€ 0.00,€ 15.53,,1,€ 15.53,,,1,€ 15.53,€ 30.00,PAN,IMG_7806.jpg,,ok
28,PAN0028,€ 30.00,,€ 0.00,€ 15.53,,1,€ 15.53,,,1,€ 15.53,€ 30.00,PAN,IMG_7807.jpg,,GONZAGA
29,PAN0029,€ 30.00,,€ 0.00,€ 15.53,,1,€ 15.53,,,1,€ 15.53,€ 30.00,PAN,IMG_7808.jpg,,ok
30,PAN0030,€ 15.00,,€ 0.00,,,1,,,,1,€ 0.00,€ 15.00,PAN,,,ok
31,PAN0031,€ 15.00,,€ 0.00,,,1,,,,1,€ 0.00,€ 15.00,PAN,,,ok
32,PAN0032,€ 15.00,,€ 0.00,,,1,,,,1,€ 0.00,€ 15.00,PAN,,,ok
33,PAN0033,€ 15.00,,€ 0.00,,,1,,,,1,€ 0.00,€ 15.00,PAN,,,ok
34,PAN0034,€ 15.00,,€ 0.00,,,1,,,,1,€ 0.00,€ 15.00,PAN,,,ok
